Progress,ResponseId,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q7_1,Q8_1,Q9_1,Q10,Q11,Q12,Q14,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22_1,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28,Q29,Q30,Q33,Q31,Q32_1,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q36_12,Q36_13,Q36_14,Q37_1,Q37_2,Q37_3,Q37_4,Q38_1,Q38_2,Q38_3,Q38_4,Q39_1,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44,Q45,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q47_10,Q47_11,Q47_12,Q47_13,Q47_14,Q47_15,Q47_16,Q48,Q49_1,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57,Q58_1,Q59,Q60_1,Q61,Q62_1,Q63,Q64_1,Q65,Q66_1,Q67,Q68_1,Q69,Q70_1,Q71,Q72_1,Q73_1,Q74_1,Q74_2,Q74_3,Q75,Q76_1,Q77_1,Q78,Q79,Q80,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q80_7,Q80_8,Q80_9,Q81_1,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q84_1,Q85_1,Q86_1,Q87_1,Q87_2,Q87_3,Q87_4,Q87_5,Q87_6,Q87_7,Q87_8,Q88,Q89,Q90,Q91,Q92,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q93_9,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q95,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q97_1,Q97_2,Q97_3,Q97_4,Q97_5,Q98,Q99,Q100,Q101_1,Q102_1,Q103_1,Q104_1,Q105_1,Q105_2,Q105_3,Q105_4,Q106,Q107_1,Q108_1,Q108_2,Q108_3,Q108_4,Q109_1,Q109_2,Q109_3,Q109_4,Q109_5,Q109_6,Q109_7,Q109_8,Q109_9,Q109_10,Q109_11,Q109_12,Q109_13,Q109_14,Q110_1,Q111_1,Q111_2,Q111_3,Q111_4,Q111_5,Q112,Q113,Q113_1,Q113_2,Q113_3,Q113_4,Q114_1,Q115,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q116_1,Q117_1,Q117_2,Q117_3,Q117_4,Q118,Q119,Q120,Q121,Q122,Q123,Q124,Q125_1,Q126,Q127_1,Q128,Q129,Q130_1,Q131_1,Q132_1,Q132_2,Q133_1,Q133_2,Q133_3,Q133_4,Q133_5,Q133_6,Q133_7,Q134_1,Q134_2,Q134_3,Q134_4,Q134_5,Q135_1,Q136_1,Q136_2,Q136_3,Q136_4,Q136_5,Q136_6,Q137,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q138_6,Q138_7,Q139,Q139_1,Q139_2,Q139_3,Q140,Q141_1,Q142,Q143,Q144,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q146_1,Q147_1
100,R_3nx6HnDTW0qKHow,1418,2,37,2,Arab,1,2,,0,2,,6,6,5,4,5,3,2,4,1,40,12,1,5,4,2,,1,2,3,3,4,5,4,2,2,3,1,3,4,2,,6,9,9,10,12,13,15,15,,,,,,,,,5,5,5,5,5,5,5,5,4,4,5,5,4,4,2,3,3,3,2,3,3,3,180,2,,,,,,1,Soccer,Martial arts,,,,,,5,5,5,5,4,2,4,1,2,2,4,4,4,1,2,2,2,2,2,3,,2,95,1,Arabic ,5,,,,,5,,0,50,0,2,,1,2,1,8,1,12,,,,,,,1,16,200,99,300,300,2,240,15,2,,"2,3",0,1,1,0,0,0,0,0,0,2,100,0,0,0,,,,,1,1,1,1,1,,,,3,1,2,2,4,2,1,3,2,2,2,1,2,,3,1,3,3,3,,,4,2,5,2,5,5,3,5,2,4,1,1,1,,2,3,,3,0,,5,2,2,2,1,1,,2,2,2,2,,,,,,,,,,,,,,,45,,,,,,1,2,0,1,0,0,24,,,,,,,60,0,0,60,0,2,,11,2,2,2,2,,,,,,480,36,5,5,,,,,,,,,,,,,0,,,,,,,2,4,2,2,,,,,,,,,,1,2,1,,,,,,,,,,
100,R_22RlZNtK9mUGVoC,1063,2,29,2,Guyanese,1,2,0,0,2,,4,6,4,2,4,4,1,3,2,,,,,,2,,1,2,3,3,2,1,5,1,3,,2,2,4,2,,6,8,8,9,10,11,11,14,,,,,,,,,5,5,5,5,5,5,5,5,5,3,3,4,4,1,5,5,5,5,3,3,3,3,180,1,Swimming,,,,,,,,,,,1,1,4,3,5,5,1,2,2,2,2,2,2,3,3,2,2,2,1,2,4,4,2,1,100,0,,,,,,,0,,,,,1,9,1,9,1,9,1,10,1,18,1,10,1,18,1,20,1000,100,1000,0,3,600,45,2,4,,,,,,,,,,,20,100,0,0,0,,,,,,,,,,,,,,1,1,1,3,4,4,5,4,5,5,2,3,,2,2,3,3,2,1,,4,5,5,5,5,5,5,5,5,5,1,1,1,1,4,3,5,15,2,,24,5,4,4,3,1,24,5,5,5,4,2,4,4,4,4,2,5,5,4,5,5,4,4,4,5,1,1,5,2,5,1,"2,3",0,1,1,0,15,"1,3",1,0,1,0,0,60,0,0,40,20,2,1,13,2,3,2,1,120,1,4,1,2,120,9,5,5,3,2,3,4,3,3,4,4,4,2,2,4,0,,,,,,,2,2,4,2,3,1,5,3,3,0,0,1,2,10,3,2,4,2,2,2,5,3,2,5,12,1
100,R_2VEETjRwNGsp7bL,1575,2,29,2,South Asian ,1,4,0,3,2,,6,6,2,3,4,4,2,4,2,,,,,,2,,1,4,3,4,4,4,5,1,4,5,2,3,2,2,,3,8,8,10,9,12,12,15,,,,,,,,,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,2,2,1,2,3,4,3,120,2,,,,,,2,,,,,,1,1,5,3,5,5,5,3,2,4,3,4,5,5,4,4,3,4,2,3,3,5,3,2,75,1,Gujarati,25,,,,,5,,0,5,0,2,,1,16,1,15,1,15,1,24,1,18,1,24,1,30,500,90,500,600,3,180,5,2,4,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1,5,100,0,0,0,2,,,,5,3,3,3,1,2,1,,1,4,3,2,3,2,1,4,1,5,5,1,2,,2,3,2,5,4,2,,4,2,5,3,4,4,2,4,3,3,1,1,2,,2,4,2,10,5,55,12,4,2,2,2,1,6,4,3,3,4,2,2,3,4,1,1,5,5,5,4,2,4,3,4,0,4,2,4,3,5,1,3,0,0,1,0,18,3,0,0,1,0,0,120,30,,30,60,1,1,11,2,3,2,3,60,2,1,1,1,40,24,2,4,4,3,3,3,3,3,4,4,3,2,2,4,0,,,,,,,2,4,5,3,3,2,3,2,3,0,0,1,2,30,2,2,3,3,2,5,4,3,1,1,12,0
100,R_1PdeaXpULeDlgbh,236,1,33,2,Indian,1,2,1,0,2,,6,6,1,2,5,5,2,3,2,,,,,,2,,1,3,2,2,2,2,2,2,1,2,2,2,2,2,,3,6,,,,,,,3,6,8,10,10,11,10,11,5,,,,,,,,,,,,,,,,,,,,,,300,2,,,,,,1,swimming,music,scouting,basketball,stem,4,1,,,,,,2,3,2,1,2,,,,,,,4,2,4,4,,2,0,2,Kannada,100,,,,,100,100,,100,0,2,,2,,2,,2,,2,,2,,2,,2,,,,,,2,480,60,4,1,"1,2,3,4,5,7,8,9",1,1,1,1,1,0,1,1,1,4,30,70,0,0,2,,,,1,1,1,1,2,7,3,,1,,2,,4,4,4,,,,,,4,,4,4,,4,,,,2,2,2,2,5,,2,2,,,,,,,,5,,0,0,20,8,4,3,4,2,1,4,4,3,3,2,,,,,,,,,,,,,,,10,,,,,,1,4,0,0,0,1,,,,,,,,20,0,0,20,0,2,3,19,2,2,,,300,2,2,2,,120,6,,,,,,,,,,4,3,1,1,5,0,India,100,,,,,2,3,,,,,,,2,0,1,0,4,0,,2,3,2,2,4,4,4,4,4,8,4
100,R_2CypbosiNXm9qwj,804,2,47,1,Indian,1,5,1,0,2,,4,2,2,2,5,1,1,2,2,,,,,,1,30,2,,,,,,,,,,,,,2,,4,6,9,10,11,12,14,15,4,4,5,5,5,8,10,12,1,2,2,4,4,4,4,5,3,5,5,5,4,5,4,5,4,3,4,5,5,5,400,1,swimming,,,,,,,,,,,1,1,4,4,5,2,5,2,3,3,5,5,5,4,4,5,2,2,5,2,2,2,5,1,100,0,,,,,,,0,,,,,1,7,1,8,1,1,1,5,1,9,1,12,1,15,2,,,100,100,100,2,600,,4,4,"1,2,3,4,5,6",1,1,1,1,1,1,0,0,0,7,0,0,0,0,2,,,,2,8,5,3,6,7,1,,1,5,5,3,4,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,3,5,4,5,5,5,3,5,3,5,,,,5,4,3,5,3,10,10,10,5,4,5,5,1,10,5,4,5,5,4,5,5,5,1,4,5,4,5,4,4,4,5,5,10,5,4,4,5,5,2,"1,3",1,0,1,0,7,"2,4",0,1,0,1,0,20,30,30,60,10,1,1,19,1,3,1,3,100,3,2,1,2,30,2,4,4,3,4,4,5,5,5,4,2,4,4,5,3,0,Indian,100,,,,,1,3,4,4,5,2,2,5,3,0,0,1,3,7,2,3,5,5,5,4,3,4,4,5,7,3
100,R_3fdCwFBi5XcRDIV,517,1,36,2,Brazilian,1,2,0,0,2,,6,4,2,2,4,2,2,4,2,,,,,,2,,1,3,4,3,1,1,1,4,2,4,2,2,1,2,,3,9,6,4,4,7,8,10,,,,,,,,,5,5,5,5,5,4,5,4,4,2,1,1,1,1,5,5,5,5,5,5,5,5,480,2,,,,,,1,,,,,,1,3,1,1,1,1,1,2,4,5,1,1,2,2,2,2,2,2,2,2,4,3,2,2,0,1,Portuguese ,100,,,,,100,,13,99,0,1,4,1,9,1,11,1,12,1,16,1,14,2,,2,,100,1,2,100,2,600,60,2,5,2,0,1,0,0,0,0,0,0,0,30,1,99,0,0,,,,,8,5,2,4,6,3,7,1,2,4,2,2,4,5,5,4,5,5,5,1,2,5,5,5,5,5,5,1,5,4,2,5,2,5,5,2,5,1,4,2,1,3,,2,5,4,3,0,,10,5,5,5,5,1,2,5,4,5,4,2,2,4,2,2,2,5,5,4,4,1,3,2,5,30,4,2,3,1,2,1,2,0,1,0,0,10,4,0,0,0,1,0,15,0,0,0,15,2,1,10,1,2,2,2,360,5,3,1,1,30,0,4,1,1,1,4,,3,,,4,4,2,3,3,5,Brazil ,95,,,,,1,2,5,,,1,4,2,"1,2,3",1,1,1,1,0,,2,3,2,2,4,4,4,2,4,12,2
100,R_3Qa5f9S8ESLunMR,1394,1,39,2,African,1,1,0,0,2,,4,4,2,1,3,3,2,4,1,40,37,9,8,4,2,,1,2,4,5,5,,4,4,2,4,1,3,2,2,,4,5,7,10,10,11,12,15,,,,,,,,,2,5,4,4,5,3,2,5,4,4,5,1,3,,5,5,5,5,4,5,4,4,15,1,Soccer,Bike ,Scooter,Walking,,,,,,,,2,3,5,5,5,5,5,3,4,3,4,4,4,2,3,3,3,3,2,4,4,5,3,1,100,0,,,,,,,0,,,,,2,,1,24,1,12,1,17,2,,1,24,1,24,1,25,16,9,9,9,,24,5,5,5,"1,3,6,7,9",1,0,1,0,0,1,1,0,1,1,1,,0,0,,,,,1,8,8,8,1,1,1,,3,4,3,3,4,3,3,5,5,5,5,1,4,2,1,3,5,5,5,1,1,4,1,5,1,5,5,1,5,1,4,5,1,3,5,5,2,2,4,1,,24,5,5,4,3,2,,,,,,2,2,3,5,1,1,5,5,5,5,2,4,5,4,30,5,1,5,1,5,1,2,0,1,0,0,12,4,0,0,0,1,0,30,15,15,30,10,2,1,18,2,2,1,1,60,2,6,2,,5,24,4,4,5,4,4,5,4,3,4,3,4,5,4,3,6,Ontario,1,Somali,8,Aamrican,9,2,3,2,5,5,5,5,5,,,,,2,0,,2,4,2,1,5,5,5,1,1,,0
100,R_2BtFMaZ0hEjNoHq,1489,1,30,2,Asian,1,4,1,0,2,,5,5,2,4,4,5,2,3,2,,,,,,2,,1,2,2,2,3,2,1,2,2,3,2,2,1,2,,3,4,8,11,11,12,12,12,2,3,6,8,8,9,10,10,5,5,,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,60,2,,,,,,,,,,,,1,3,5,4,4,5,4,2,4,,1,1,1,1,2,2,1,1,1,3,3,4,1,2,1,2,Chinese,99,,,,,99,99,12,99,0,2,,1,8,1,10,1,10,1,16,1,18,1,19,1,20,100,1,20,300,1,600,,5,5,,,,,,,,,,,25,5,95,0,0,,,,,1,3,4,2,5,7,6,8,1,4,2,2,,5,3,5,4,4,4,3,3,,5,5,1,5,1,1,,2,2,4,3,5,5,2,5,,5,4,1,1,,4,5,4,5,0,50,20,5,5,5,3,1,24,5,3,5,3,1,4,4,3,3,2,4,4,3,3,2,4,4,4,30,2,1,3,1,4,1,"1,2,3",1,1,1,0,19,"1,3,4",1,0,1,1,0,30,0,0,20,10,2,1,19,3,2,2,2,30,4,8,2,,480,36,3,3,5,1,4,4,1,1,3,4,4,4,4,4,10,China,90,,,,,2,4,4,3,3,2,4,3,"1,2,3",1,1,1,2,0,,2,4,2,1,4,5,5,2,2,11,0
100,R_2fiI1BlDWvb3c9p,551,2,34,2,Indian,1,2,0,0,2,,7,7,3,3,2,3,2,4,1,35,3,16,3,5,2,,1,3,4,5,2,2,1,2,1,4,2,2,4,2,,4,5,5,7,8,10,11,15,,,,,,,,,5,5,5,5,5,4,4,4,3,3,1,,,,5,5,5,5,4,4,4,4,150,2,,,,,,1,Swimming,Dancing,Sports,Arts ,Singing,3,1,,,2,,,2,4,1,1,1,2,,2,,,2,2,2,2,2,2,2,70,1,Hindi,20,Marathi,5,Sindhi,5,30,,1,50,1,1,4,1,8,1,5,1,12,1,15,1,16,2,,2,,100,50,30,50,1,250,10,3,2,8,0,0,0,0,0,0,0,1,0,7,100,0,0,0,,,,,1,3,,,,,2,,,5,1,2,4,4,3,4,3,3,3,1,1,,4,2,1,4,2,1,1,3,2,4,3,4,5,2,4,2,2,,3,2,1,,3,4,2,25,,8,4,3,4,2,1,8,5,4,5,4,1,3,4,4,2,,5,5,3,4,,4,4,4,15,5,2,4,2,,1,4,0,0,0,1,10,"1,3",1,0,1,0,0,10,0,0,5,20,2,1,19,1,2,2,2,100,4,3,1,3,15,18,4,2,4,2,5,3,5,4,4,4,4,3,3,3,10,India,90,,,,,2,,3,,,,3,3,"1,2,3",1,1,1,1,0,,2,4,2,2,4,5,5,2,4,9,2
100,R_33vBwfQ4baAXjga,1774,1,45,2,Black,1,2,1,0,2,,5,1,3,3,5,2,2,4,2,,,,,,2,,1,1,5,,5,1,1,1,1,3,1,2,4,2,,6,7,8,9,9.5,9.8,10,10.5,3,4,4.5,6,7,7.5,7.8,8,3,3,3,3,3,3,2,2,5,5,5,4,3,4,5,5,5,5,5,5,5,5,60,2,,,,,,1,,,,,,4,4,5,5,5,5,1,1,3,1,2,2,1,2,2,2,1,1,1,5,2,5,2,2,60,1,Spanish,40,,,,,60,10,1,20,1,2,,1,18,1,11,1,11,1,22,1,28,1,32,1,38,1600,90,1500,1600,2,600,30,2,4,"1,3,4,5,6,7,8,9",1,0,1,1,1,1,1,1,1,7,10,0,0,0,2,,,,1,8,3,3,2,3,1,,1,5,1,2,4,5,5,5,4,5,5,1,4,,5,5,4,4,4,1,,2,2,5,2,5,5,1,5,2,5,1,1,1,,5,5,5,3,120,,12,5,3,5,4,1,2,5,2,5,4,1,5,5,5,1,2,5,5,5,4,1,5,5,5,5,5,1,5,1,5,1,"1,2,3",1,1,1,0,32,5,0,0,0,0,1,120,0,0,0,5,1,1,15,1,2,2,2,240,4,2,2,,15,28,1,1,2,2,5,5,,,3,3,3,3,5,3,10,Latin America,80,Caribbean,10,,,2,4,2,2,2,2,2,2,"1,2,3",1,1,1,1,0,,2,5,2,2,2,5,5,1,1,13,0
